date,url,remark,date_new,date_new_new
2019-06-04,/files/6.4.19_minutes.pdf,,2019-06-04,"June 04, 2019"
2019-05-28,/files/5.28.19_minutes.pdf,,2019-05-28,"May 28, 2019"
2019-05-21,,CANCELLED,2019-05-21,"May 21, 2019"
2019-05-07,/files/5.7.19_minutes.pdf,,2019-05-07,"May 07, 2019"
2019-04-23,/files/4.23.19_minutes.pdf,,2019-04-23,"April 23, 2019"
2019-04-08,/files/4.8.19_minutes.pdf,,2019-04-08,"April 08, 2019"
2019-03-19,/files/3.5.19_minutes.pdf,,2019-03-19,"March 19, 2019"
2019-03-05,/files/3.5.19.pdf,,2019-03-05,"March 05, 2019"
2019-02-26,/files/2.26.19_minutes.pdf,,2019-02-26,"February 26, 2019"
2019-02-05,/files/2.5.19_minutes.pdf,,2019-02-05,"February 05, 2019"
2019-01-22,/files/January_22_minutes.pdf,,2019-01-22,"January 22, 2019"
2019-01-08,/files/January_8_minutes.pdf,,2019-01-08,"January 08, 2019"
2018-12-20,/files/12.20.18_minutes.pdf,,2018-12-20,"December 20, 2018"
2018-12-04,/files/12.4.18_minutes.pdf,,2018-12-04,"December 04, 2018"
2018-11-20,/files/11.20.18.pdf,,2018-11-20,"November 20, 2018"
2018-11-07,,,2018-11-07,"November 07, 2018"
2018-10-16,,,2018-10-16,"October 16, 2018"
2018-09-25,/files/9.25.18_minutes.pdf,,2018-09-25,"September 25, 2018"
2018-09-13,/files/9.13.18_minutes.pdf,,2018-09-13,"September 13, 2018"
2018-09-04,/files/9.4.18.pdf,,2018-09-04,"September 04, 2018"
2018-08-21,/files/8.21.18_minutes.pdf,,2018-08-21,"August 21, 2018"
2018-08-07,/files/8.7.18_minutes.pdf,,2018-08-07,"August 07, 2018"
2018-07-24,/files/7.24.18_minutes.pdf,,2018-07-24,"July 24, 2018"
2018-07-10,/files/7.10.18_minutes.pdf,,2018-07-10,"July 10, 2018"
2018-06-28,/files/6.28.18.pdf,,2018-06-28,"June 28, 2018"
2018-06-22,/files/6.22.18_minutes.pdf,,2018-06-22,"June 22, 2018"
2018-06-21,/files/6.21.18.pdf,,2018-06-21,"June 21, 2018"
2108-06-19,/files/6.19.18_minutes.pdf,,2108-06-19,"June 19, 2108"
2018-06-06,,,2018-06-06,"June 06, 2018"
2018-05-29,/files/5.29.18_minutes.pdf,,2018-05-29,"May 29, 2018"
2018-05-22,,,2018-05-22,"May 22, 2018"
2018-05-15,,Canceled,2018-05-15,"May 15, 2018"
2018-05-01,,,2018-05-01,"May 01, 2018"
2018-04-17,/files/4.17.18.pdf,,2018-04-17,"April 17, 2018"
2018-04-02,"/files/april_2,_2018_minutes.pdf",,2018-04-02,"April 02, 2018"
2018-03-27,,,2018-03-27,"March 27, 2018"
2018-03-22,,,2018-03-22,"March 22, 2018"
2018-03-20,,,2018-03-20,"March 20, 2018"
2018-03-08,/files/3.8.18.pdf,,2018-03-08,"March 08, 2018"
2018-03-06,"/files/march_6,_2018_minutes.pdf",,2018-03-06,"March 06, 2018"
2018-02-20,"/files/feb_20,_2108_minutes.pdf",,2018-02-20,"February 20, 2018"
2018-02-06,/files/2.6.18_minutes.pdf,,2018-02-06,"February 06, 2018"
2018-01-16,"/files/january_16,_2018_minutes.pdf",,2018-01-16,"January 16, 2018"
2017-01-05,/files/1.5.17_minutes.pdf,,2017-01-05,"January 05, 2017"
2017-01-26,/files/1.26.17_minutes.pdf,,2017-01-26,"January 26, 2017"
2017-02-02,/files/2.2.17_minutes.pdf,,2017-02-02,"February 02, 2017"
2017-02-16,/files/2.16.17_minutes.pdf,,2017-02-16,"February 16, 2017"
2017-03-02,/files/3.2.17__minutes.pdf,,2017-03-02,"March 02, 2017"
2017-03-16,/files/3.16.17_minutes.pdf,,2017-03-16,"March 16, 2017"
2017-04-12,/files/4.12.17_minutes.pdf,,2017-04-12,"April 12, 2017"
2017-05-01,/files/5.1.17_Minutes.pdf,,2017-05-01,"May 01, 2017"
