Rank,Title,Author,Score,Votes,Rating
1,The Handmaid's Tale,Margaret Atwood,"score: 30,733",314 people voted," 4.09 avg rating — 1,103,055 ratings"
2,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"score: 28,553",292 people voted," 4.33 avg rating — 5,742,381 ratings"
3,Frankenstein,Mary Wollstonecraft Shelley,"score: 21,909",224 people voted," 3.78 avg rating — 1,023,619 ratings"
4,"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,"score: 18,720",196 people voted," 4.01 avg rating — 903,708 ratings"
5,The Left Hand of Darkness (Hainish Cycle #4),Ursula K. Le Guin,"score: 17,920",184 people voted," 4.06 avg rating — 98,822 ratings"
6,"Divergent (Divergent, #1)",Veronica Roth,"score: 13,326",138 people voted," 4.21 avg rating — 2,603,197 ratings"
7,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,"score: 12,749",133 people voted," 4.29 avg rating — 2,200,976 ratings"
8,"The Giver (The Giver, #1)",Lois Lowry,"score: 12,399",129 people voted," 4.12 avg rating — 1,535,394 ratings"
9,Kindred,Octavia E. Butler,"score: 11,070",116 people voted," 4.23 avg rating — 72,373 ratings"
10,The Dispossessed (Hainish Cycle #6),Ursula K. Le Guin,"score: 10,731",112 people voted," 4.21 avg rating — 71,658 ratings"
11,"Oryx and Crake (MaddAddam, #1)",Margaret Atwood,"score: 10,117",107 people voted," 4.01 avg rating — 197,835 ratings"
12,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,"score: 9,807",104 people voted," 4.03 avg rating — 2,072,231 ratings"
13,The Time Traveler's Wife,Audrey Niffenegger,"score: 9,193",98 people voted," 3.96 avg rating — 1,446,884 ratings"
14,"Doomsday Book (Oxford Time Travel, #1)",Connie Willis,"score: 8,935",96 people voted," 4.03 avg rating — 43,257 ratings"
15,The Lathe of Heaven,Ursula K. Le Guin,"score: 7,775",84 people voted," 4.11 avg rating — 44,005 ratings"
16,Ancillary Justice (Imperial Radch #1),Ann Leckie,"score: 7,336",81 people voted," 3.98 avg rating — 66,225 ratings"
17,"Shards of Honour  (Vorkosigan Saga, #1)",Lois McMaster Bujold,"score: 7,017",75 people voted," 4.11 avg rating — 25,887 ratings"
18,"To Say Nothing of the Dog (Oxford Time Travel, #2)",Connie Willis,"score: 6,890",74 people voted," 4.13 avg rating — 29,648 ratings"
19,"The Sparrow (The Sparrow, #1)",Mary Doria Russell,"score: 6,873",72 people voted," 4.17 avg rating — 52,761 ratings"
20,"Dragonflight (Dragonriders of Pern, #1)",Anne McCaffrey,"score: 6,802",74 people voted," 4.10 avg rating — 116,167 ratings"
21,"Parable of the Sower (Earthseed, #1)",Octavia E. Butler,"score: 6,653",71 people voted," 4.16 avg rating — 42,267 ratings"
22,"The Warrior's Apprentice (Vorkosigan Saga, #2)",Lois McMaster Bujold,"score: 6,087",65 people voted," 4.29 avg rating — 20,959 ratings"
23,"Barrayar (Vorkosigan Saga, #7)",Lois McMaster Bujold,"score: 5,623",60 people voted," 4.31 avg rating — 22,112 ratings"
24,"The Host (The Host, #1)",Stephenie Meyer,"score: 5,274",56 people voted," 3.84 avg rating — 829,057 ratings"
25,"Insurgent (Divergent, #2)",Veronica Roth,"score: 4,899",54 people voted," 4.05 avg rating — 1,045,927 ratings"
26,"Memory (Vorkosigan Saga, #10)",Lois McMaster Bujold,"score: 4,682",51 people voted," 4.45 avg rating — 13,951 ratings"
27,The Children of Men,P.D. James,"score: 4,484",49 people voted," 3.68 avg rating — 36,108 ratings"
28,"Starshine: Aurora Rising Book One (Aurora Rhapsody, #1)",G.S. Jennsen,"score: 4,394",45 people voted," 3.91 avg rating — 2,147 ratings"
29,"The Year of the Flood  (MaddAddam, #2)",Margaret Atwood,"score: 4,343",47 people voted," 4.06 avg rating — 92,243 ratings"
30,"Crystal Singer (Crystal Singer, #1)",Anne McCaffrey,"score: 4,235",47 people voted," 4.09 avg rating — 17,775 ratings"
31,"Mirror Dance (Vorkosigan Saga, #8)",Lois McMaster Bujold,"score: 4,120",47 people voted," 4.33 avg rating — 17,332 ratings"
32,"Lilith's Brood (Xenogenesis, #1-3)",Octavia E. Butler,"score: 4,108",47 people voted," 4.33 avg rating — 12,574 ratings"
33,"The Vor Game (Vorkosigan Saga, #6)",Lois McMaster Bujold,"score: 3,895",46 people voted," 4.28 avg rating — 18,977 ratings"
34,"Wild Seed (Patternmaster, #1)",Octavia E. Butler,"score: 3,842",43 people voted," 4.21 avg rating — 14,438 ratings"
35,"A Wind in the Door (Time Quintet, #2)",Madeleine L'Engle,"score: 3,700",42 people voted," 4.04 avg rating — 106,044 ratings"
36,"A Civil Campaign (Vorkosigan Saga, #12)",Lois McMaster Bujold,"score: 3,683",43 people voted," 4.43 avg rating — 14,496 ratings"
37,"Brothers in Arms (Vorkosigan Saga, #5)",Lois McMaster Bujold,"score: 3,653",43 people voted," 4.21 avg rating — 13,277 ratings"
38,"Cetaganda (Vorkosigan Saga, #9)",Lois McMaster Bujold,"score: 3,618",43 people voted," 4.17 avg rating — 14,831 ratings"
39,"The Snow Queen (The Snow Queen Cycle, #1)",Joan D. Vinge,"score: 3,535",43 people voted," 3.95 avg rating — 11,144 ratings"
40,"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,"score: 3,440",38 people voted," 4.15 avg rating — 582,936 ratings"
41,"Downbelow Station (The Company Wars, #1)",C.J. Cherryh,"score: 3,381",40 people voted," 3.91 avg rating — 12,110 ratings"
42,"The Ship Who Sang (Brainship, #1)",Anne McCaffrey,"score: 3,361",39 people voted," 4.01 avg rating — 21,161 ratings"
43,"Dragon Dawn (Dinosaurian Time Travel, #1)",Deborah O'Neill Cordes,"score: 3,340",34 people voted, 3.81 avg rating — 194 ratings
44,"Dragonsong (Harper Hall, #1)",Anne McCaffrey,"score: 3,092",36 people voted," 4.25 avg rating — 43,821 ratings"
45,"Falling Free (Vorkosigan Saga, #4)",Lois McMaster Bujold,"score: 3,054",37 people voted," 3.83 avg rating — 16,015 ratings"
46,"Ethan of Athos (Vorkosigan Saga, #3)",Lois McMaster Bujold,"score: 2,904",36 people voted," 3.76 avg rating — 11,391 ratings"
47,"A Swiftly Tilting Planet (Time Quintet, #3)",Madeleine L'Engle,"score: 2,831",32 people voted," 4.11 avg rating — 95,090 ratings"
48,"Dawn (Xenogenesis, #1)",Octavia E. Butler,"score: 2,755",32 people voted," 4.12 avg rating — 22,785 ratings"
49,"Komarr (Vorkosigan Saga, #11)",Lois McMaster Bujold,"score: 2,579",31 people voted," 4.30 avg rating — 12,913 ratings"
50,"Foreigner (Foreigner, #1)",C.J. Cherryh,"score: 2,547",30 people voted," 3.94 avg rating — 7,158 ratings"
51,Where Late the Sweet Birds Sang,Kate Wilhelm,"score: 2,535",30 people voted," 3.87 avg rating — 8,284 ratings"
52,"Beggars in Spain (Sleepless, #1)",Nancy Kress,"score: 2,526",30 people voted," 3.94 avg rating — 6,813 ratings"
53,Her Smoke Rose Up Forever,James Tiptree Jr.,"score: 2,524",29 people voted," 4.21 avg rating — 3,311 ratings"
54,"The Silver Metal Lover (Silver Metal Lover, #1)",Tanith Lee,"score: 2,504",29 people voted," 4.03 avg rating — 3,384 ratings"
