Rank,Title,Series,Number in series,Author,Score,Votes,Rating,Number of rating
1,The Handmaid's Tale,,,Margaret Atwood,"30,733",314,4.09,"1,103,055"
2,The Hunger Games ,The Hunger Games,1,Suzanne Collins,"28,553",292,4.33,"5,742,381"
3,Frankenstein,,,Mary Wollstonecraft Shelley,"21,909",224,3.78,"1,023,619"
4,A Wrinkle in Time ,Time Quintet,1,Madeleine L'Engle,"18,720",196,4.01,"903,708"
5,The Left Hand of Darkness ,,4,Ursula K. Le Guin,"17,920",184,4.06,"98,822"
6,Divergent ,Divergent,1,Veronica Roth,"13,326",138,4.21,"2,603,197"
7,Catching Fire ,The Hunger Games,2,Suzanne Collins,"12,749",133,4.29,"2,200,976"
8,The Giver ,The Giver,1,Lois Lowry,"12,399",129,4.12,"1,535,394"
9,Kindred,,,Octavia E. Butler,"11,070",116,4.23,"72,373"
10,The Dispossessed ,,6,Ursula K. Le Guin,"10,731",112,4.21,"71,658"
11,Oryx and Crake ,MaddAddam,1,Margaret Atwood,"10,117",107,4.01,"197,835"
12,Mockingjay ,The Hunger Games,3,Suzanne Collins,"9,807",104,4.03,"2,072,231"
13,The Time Traveler's Wife,,,Audrey Niffenegger,"9,193",98,3.96,"1,446,884"
14,Doomsday Book ,Oxford Time Travel,1,Connie Willis,"8,935",96,4.03,"43,257"
15,The Lathe of Heaven,,,Ursula K. Le Guin,"7,775",84,4.11,"44,005"
16,Ancillary Justice ,,1,Ann Leckie,"7,336",81,3.98,"66,225"
17,Shards of Honour  ,Vorkosigan Saga,1,Lois McMaster Bujold,"7,017",75,4.11,"25,887"
18,To Say Nothing of the Dog ,Oxford Time Travel,2,Connie Willis,"6,890",74,4.13,"29,648"
19,The Sparrow ,The Sparrow,1,Mary Doria Russell,"6,873",72,4.17,"52,761"
20,Dragonflight ,Dragonriders of Pern,1,Anne McCaffrey,"6,802",74,4.10,"116,167"
21,Parable of the Sower ,Earthseed,1,Octavia E. Butler,"6,653",71,4.16,"42,267"
22,The Warrior's Apprentice ,Vorkosigan Saga,2,Lois McMaster Bujold,"6,087",65,4.29,"20,959"
23,Barrayar ,Vorkosigan Saga,7,Lois McMaster Bujold,"5,623",60,4.31,"22,112"
24,The Host ,The Host,1,Stephenie Meyer,"5,274",56,3.84,"829,057"
25,Insurgent ,Divergent,2,Veronica Roth,"4,899",54,4.05,"1,045,927"
26,Memory ,Vorkosigan Saga,1,Lois McMaster Bujold,"4,682",51,4.45,"13,951"
27,The Children of Men,,,P.D. James,"4,484",49,3.68,"36,108"
28,Starshine,Aurora Rhapsody,1,G.S. Jennsen,"4,394",45,3.91,"2,147"
